date,course,status,hours,note
2026-07-20,DAA,present,2,
2026-07-20,EOS&D,absent,1,
2026-07-20,LSM,absent,2,
2026-07-21,EOS&D,present,2,
2026-07-21,PI,cancelled,,first class of the semester cancelled
2026-07-22,EOS&D,present,1,
2026-07-22,LSM,present,2,
2026-07-22,SS,cancelled,,first class of the semester cancelled
2026-07-23,DAA,absent,2,
2026-07-24,PI,present,2,
2026-07-24,SS,absent,2,
2026-07-27,DAA,present,2,
2026-07-27,EOS&D,present,1,
2026-07-27,LSM,present,2,
2026-07-28,EOS&D,absent,2,
2026-07-28,PI,present,2,
2026-07-29,EOS&D,absent,1,
2026-07-29,LSM,absent,2,
2026-07-29,SS,absent,2,
2026-07-30,DAA,present,2,
2026-07-31,PI,present,2,
2026-07-31,SS,present,2,
2026-08-03,DAA,present,2,
2026-08-03,EOS&D,present,1,
2026-08-03,LSM,present,2,
2026-08-04,EOS&D,absent,2,
2026-08-04,PI,present,2,
2026-08-05,EOS&D,cancelled,,class did not happen
2026-08-05,LSM,absent,2,
2026-08-05,SS,absent,2,
2026-08-06,DAA,present,2,
2026-08-07,PI,absent,2,
2026-08-07,SS,present,2,
2026-08-10,DAA,present,2,
2026-08-10,EOS&D,present,1,
2026-08-10,LSM,present,2,
